trip_month,trip_day,trip_day_of_week,trip_hour,trip_duration,trip_distance,payment_type,pickup_zone,dropoff_zone,tip_bin
7,29,1,10,1742,20.3,3,132,265,0
7,4,4,17,3540,16.06,2,138,264,0
7,23,2,9,2892,19.09,2,64,238,0
7,5,5,9,2354,19.6,2,132,43,0
7,26,5,14,4349,15,2,186,76,0
7,14,7,9,2440,19.74,1,10,68,0
7,27,6,9,2387,19.19,1,169,177,0
7,4,4,19,2441,19.19,1,48,10,0
7,13,6,15,3967,15.85,2,230,222,0
7,24,3,11,2966,17.59,2,48,29,0
7,10,3,7,3309,18.09,2,132,168,0
7,4,4,17,1974,20.55,2,132,240,0
7,10,3,9,3547,17.36,1,216,141,0
7,21,7,18,2864,19.65,2,132,247,0
7,21,7,11,2897,18.9,2,50,16,0
7,16,2,18,3011,18.9,1,132,22,0
7,19,5,16,5153,11.5,1,161,200,0
7,12,5,21,1873,20.43,1,132,22,0
7,20,6,18,3156,18.51,1,132,145,0
7,31,3,8,4107,15.36,1,138,261,1
7,31,3,19,2570,19.67,1,132,25,1
7,23,2,18,2994,18.53,2,132,65,0
7,27,6,18,4519,14.07,1,174,68,0
7,11,4,13,114,15.58,2,132,165,0
7,13,6,17,5240,12.23,1,48,182,0
7,18,4,9,3346,16.9,1,138,13,1
7,1,1,19,2289,19.8,1,130,234,1
7,23,2,23,1956,20.3,1,132,213,0
7,24,3,0,1706,20.59,1,132,52,0
7,25,4,15,5167,11.9,1,114,243,0
7,5,5,8,3284,18.1,1,91,181,0
7,21,7,18,4600,13.6,1,75,35,0
7,23,2,18,3034,19,1,132,65,1
7,3,3,16,2967,19.4,1,230,265,1
7,15,1,20,1778,12.66,1,138,265,1
7,29,1,5,1191,13.8,1,261,1,1
7,13,6,21,2541,19,1,138,265,1
7,20,6,22,3107,18.2,1,113,19,1
7,16,2,10,3531,15.5,1,138,231,1
7,17,3,10,2898,17.87,1,230,216,1
7,12,5,8,4729,12.3,1,138,100,1
7,13,6,15,3716,17.1,1,132,170,1
7,25,4,21,1911,20.33,1,132,54,0
7,5,5,23,2068,19.7,1,132,181,1
7,25,4,22,1881,16.8,1,138,265,1
7,24,3,0,1604,20.65,1,132,14,1
7,6,6,21,3540,16.34,1,142,218,1
7,13,6,12,2907,19.1,1,132,66,1
7,22,1,7,2068,19.8,1,264,264,1
7,12,5,17,2739,19.76,1,132,14,0
7,7,7,5,1918,19.5,1,132,49,1
